rank,drug_name,best_pvalue,neg_log10_p,all_databases,n_original_compounds
1069,Mometasone Furoate,0.0111708181685347,1.9519150172991406,DSigDB,1
1070,189-Trihydroxyanthracene,0.0111708181685347,1.9519150172991406,DSigDB,1
1071,Doxycycline,0.0111708181685347,1.9519150172991406,DSigDB,1
1072,Methoxycamptothecin,0.0111708181685347,1.9519150172991406,DSigDB,1
1073,Harringtonine-23 Mgkg In Saline-Rat-Bone Marrow-3D-Dn,0.0111881437700319,1.951241961488002,DrugMatrix,1
1074,Azathioprine-160 Mgkg In Corn Oil-Rat-Liver-3D-Up,0.0111881437700319,1.951241961488002,DrugMatrix,1
1075,Hydrocortisone Boss,0.0113305192555999,1.9457501868114204,DSigDB,1
1076,Acid Red 87 Boss,0.0113305192555999,1.9457501868114204,DSigDB,1
1077,Citalopram-90 Mgkg In Corn Oil-Rat-Liver-025D-Up,0.0113839838960984,1.9437057272808125,DrugMatrix,1
1078,Methylparaben-1500 Mgkg In Cmc-Rat-Liver-3D-Up,0.0113839838960984,1.9437057272808125,DrugMatrix,1
1079,Trichloroethylene-1230 Mgkg In Cmc-Rat-Kidney-5D-Up,0.0113839838960984,1.9437057272808125,DrugMatrix,1
1080,Piclamilast-17 Mgkg In Cmc-Rat-Heart-1D-Up,0.0113839838960984,1.9437057272808125,DrugMatrix,1
1081,Omega-3 Fatty Acids Boss,0.0114919587233926,1.939605942568275,DSigDB,1
1082,Dideoxycytidine-1200 Mgkg In Cmc-Rat-Liver-5D-Up,0.0115354655420822,1.937964873767287,DrugMatrix,1
1083,4-Nitrobenzoic Acid-1470 Mgkg In Cmc-Rat-Kidney-1D-Up,0.0116982501829921,1.9318790948951552,DrugMatrix,1
1084,Benzothiazyl Disulfide-2600 Mgkg In Corn Oil-Rat-Liver-3D-Up,0.0118640524607537,1.9257669416016,DrugMatrix,1
