compound,best_pvalue,best_combined_score,n_entries,databases,nrf2_status,nrf2_confidence,is_pains,pains_category,auc_class,rank,neg_log10_p
ljp005 mcf10a 3h-ym-201636-10,2.43086315181982e-07,159.185459778057,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,883,6.614239489565708
ljp005 skbr3 24h-nilotinib-10,2.46994998635724e-07,96.676266447808,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,884,6.607311840614415
ljp005 hcc515 24h-pd-184352-10,2.46994998635724e-07,96.676266447808,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,885,6.607311840614415
17-hydroxyandrostan-3-one,2.49974394959663e-07,69.0993736126402,2,DSigDB,unknown,,False,,putative_negative,886,6.602104474116878
ljp006 mdamb231 3h-a443654-10,2.57617912776441e-07,88.3656824570508,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,887,6.589023942750513
ljp009 ht29 24h-dabrafenib-333,2.57617912776441e-07,88.3656824570508,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,888,6.589023942750513
4-hydroxytamoxifen,2.66556706948235e-07,41.7580112559826,2,DSigDB,unknown,,False,,putative_negative,889,6.574210385530825
ljp005 mcf10a 24h-pd-184352-10,2.71916122332829e-07,76.3261436157045,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,890,6.56556504164897
ljp006 ht29 24h-pf-562271-10,2.74540429376342e-07,81.3421461218547,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,891,6.561393691424612
ljp006 mcf10a 3h-jw-7-24-1-10,2.79401386457372e-07,94.8105464636589,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,892,6.553771443142051
ljp008 ht29 24h-pd-0325901-333,2.80755638073499e-07,116.302517536043,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,893,6.551671513571854
ljp006 hcc515 24h-kin001-043-10,2.80755638073499e-07,116.302517536043,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,894,6.551671513571854
ljp006 mcf10a 3h-at-7519-10,2.88108372855262e-07,86.8662922668911,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,895,6.540444120296471
ljp006 skbr3 3h-cgp-60474-10,2.88108372855262e-07,86.8662922668911,1,LINCS_L1000_Chem_Pert_down,unknown,,False,,putative_negative,896,6.540444120296471
ljp005 mdamb231 24h-mitoxantrone-333,2.88709307615766e-07,238.477098012361,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,897,6.539539214799544
ljp006 mdamb231 24h-hg-6-64-01-111,2.88709307615766e-07,238.477098012361,1,LINCS_L1000_Chem_Pert_down,unknown,,False,,putative_negative,898,6.539539214799544
ljp006 bt20 3h-afatinib-111,2.88709307615766e-07,238.477098012361,1,LINCS_L1000_Chem_Pert_down,unknown,,False,,putative_negative,899,6.539539214799544
ljp006 mdamb231 24h-alvocidib-10,2.88839981581397e-07,131.759886796076,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,900,6.539342691371217
ljp006 mcf10a 3h-pi-103-333,2.88839981581397e-07,131.759886796076,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,901,6.539342691371217
ljp005 skbr3 3h-geldanamycin-111,2.88839981581397e-07,131.759886796076,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,902,6.539342691371217
ljp009 hcc515 24h-dasatinib-333,2.98651675738084e-07,152.999387050276,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,903,6.524835044078599
ljp006 mcf10a 3h-gefitinib-004,3.03527907674735e-07,184.70050642478,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,904,6.517801371831117
methylergometrine,3.04093901817423e-07,80.1143002066819,6,DSigDB,unknown,,False,,putative_negative,905,6.51699228894366
ljp005 skbr3 24h-pf-431396-10,3.1731844108724e-07,102.086565592004,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,906,6.498504687969852
ljp009 hcc515 24h-dasatinib-10,3.1731844108724e-07,102.086565592004,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,907,6.498504687969852
ljp005 ht29 24h-nilotinib-10,3.26749992031974e-07,113.29958176428,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,908,6.485784414337991
