"TargetNode","PerturbationType","PerturbedRule","Condition","FerroptosisFlipped","CellSurvivalFlipped","HammingDistance","AffectedNodes","PerturbedFerroptosis","BaselineFerroptosis"
"NFE2L2","add_activator","(NOT KEAP1 OR PERTURB_ACTIVATOR)","Nrf2_OE",NA,NA,0,"",NA,NA
"NFE2L2","add_activator","(NOT KEAP1 OR PERTURB_ACTIVATOR)","Nrf2_KO",NA,NA,0,"",NA,NA
"NFE2L2","add_activator","(NOT KEAP1 OR PERTURB_ACTIVATOR)","BACH1_KO",NA,NA,1,"NFE2L2",NA,NA
"NFE2L2","add_inhibitor","(NOT KEAP1 AND NOT PERTURB_INHIBITOR)","Sham",NA,NA,0,"",NA,NA
"NFE2L2","add_inhibitor","(NOT KEAP1 AND NOT PERTURB_INHIBITOR)","WT_IR",NA,NA,0,"",NA,NA
"NFE2L2","add_inhibitor","(NOT KEAP1 AND NOT PERTURB_INHIBITOR)","Ogt_KO",NA,NA,0,"",NA,NA
"NFE2L2","add_inhibitor","(NOT KEAP1 AND NOT PERTURB_INHIBITOR)","Oga_KO",NA,NA,0,"",NA,NA
"NFE2L2","add_inhibitor","(NOT KEAP1 AND NOT PERTURB_INHIBITOR)","Nrf2_OE",NA,NA,0,"",NA,NA
"NFE2L2","add_inhibitor","(NOT KEAP1 AND NOT PERTURB_INHIBITOR)","Nrf2_KO",NA,NA,0,"",NA,NA
"NFE2L2","add_inhibitor","(NOT KEAP1 AND NOT PERTURB_INHIBITOR)","BACH1_KO",NA,NA,0,"",NA,NA
"HMOX1","AND_to_OR","(NRF2 OR NOT BACH1)","Sham",NA,NA,0,"",NA,NA
"HMOX1","AND_to_OR","(NRF2 OR NOT BACH1)","WT_IR",NA,NA,0,"",NA,NA
"HMOX1","AND_to_OR","(NRF2 OR NOT BACH1)","Ogt_KO",NA,NA,0,"",NA,NA
"HMOX1","AND_to_OR","(NRF2 OR NOT BACH1)","Oga_KO",NA,NA,0,"",NA,NA
"HMOX1","AND_to_OR","(NRF2 OR NOT BACH1)","Nrf2_OE",NA,NA,0,"",NA,NA
"HMOX1","AND_to_OR","(NRF2 OR NOT BACH1)","Nrf2_KO",NA,NA,0,"",NA,NA
