compound,best_pvalue,best_combined_score,n_entries,databases,nrf2_status,nrf2_confidence,is_pains,pains_category,auc_class
quercetin dihydrate boss,0.098042486453594,4.07596026439811,2,DSigDB,activator,high,True,literature_classified,positive
cpc006 u937 6h-rottlerin ncgc00025228-11-968,0.112542036142158,4.41366923383757,1,LINCS_L1000_Chem_Pert_up,unknown,,True,literature_classified,excluded
cpc018 npc 24h-quercetin-100,0.11407613801902,4.85949040239199,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,high,True,literature_classified,positive
apigenin ttd 00002101,0.118072730031338,5.5754154349699,2,DSigDB,activator,medium,True,literature_classified,positive
resveratrol-13c6 ttd 00010554,0.118072730031338,5.5754154349699,2,DSigDB,activator,high,True,literature_classified,positive
catechol-40 mgkg in saline-rat-bone marrow-1d-up,0.118837734069395,3.26528997451458,2,DrugMatrix,unknown,,True,catechol,excluded
catechol-40 mgkg in saline-rat-bone marrow-025d-up,0.120860170839462,3.22780544340065,2,DrugMatrix,unknown,,True,catechol,excluded
cpc006 ncih596 6h-rottlerin ncgc00025228-11-968,0.12252803470737,4.56848597536373,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,True,literature_classified,excluded
myricetin boss,0.12252803470737,4.56848597536373,2,DSigDB,activator,medium,True,literature_classified,positive
catechol-195 mgkg in saline-rat-bone marrow-1d-up,0.122901866786119,3.19077529008426,2,DrugMatrix,unknown,,True,catechol,excluded
ljp006 bt20 3h-celastrol-10,0.128489113320679,6.9783608319346,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
cpc006 ht115 6h-curcumin-480,0.129160251906065,5.11338011028171,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,high,True,literature_classified,positive
cpc006 ht115 6h-curcumin-1357,0.134837443223168,4.90136914425775,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,high,True,literature_classified,positive
cpc006 sw620 6h-rottlerin ncgc00025228-11-968,0.13568722199834,4.17199472554433,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,True,literature_classified,excluded
cpc002 vcap 6h-quercetin-100,0.136999934473736,6.47823002297217,1,LINCS_L1000_Chem_Pert_up,activator,high,True,literature_classified,positive
14-deoxy-1112-didehydroandrographolide,0.140741150521065,3.26251062982284,2,DSigDB,activator,medium,False,,positive
cpc006 ncih1694 6h-curcumin-480,0.141653339558862,3.64646985941006,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,high,True,literature_classified,positive
cpc006 ht29 6h-curcumin-480,0.142485547526067,3.39478068087041,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,high,True,literature_classified,positive
catechol ttd 00002709,0.145630505863275,6.02765374262903,1,DSigDB,unknown,,True,catechol,excluded
cpc011 vcap 24h-idebenone-100,0.162430580311551,11.8338122981695,1,LINCS_L1000_Chem_Pert_up,unknown,,True,ene_one,excluded
cpc001 hcc515 24h-rottlerin ncgc00025228-11-100,0.162925089814487,2.64729320332608,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,True,literature_classified,excluded
cpc002 vcap 24h-isorotenone-100,0.163206293839153,5.25055649512876,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,True,ene_one,excluded
genistein-375 mgkg in corn oil-rat-liver-3d-dn,0.165465954957687,2.61485821262734,2,DrugMatrix,activator,medium,True,literature_classified,positive
