gene,rna_log2fc,prot_log2fc,residual
ANK1,-0.654892825300321,1.0369655330966232,1.181666837374433
B2M,-0.542149063731317,1.0146250919536417,1.1430806927192985
COL6A2,-0.629505427417702,-1.231103450912208,-1.0900603192304374
MAP2K3,1.84114447244455,-0.870931636043565,-1.085894417211588
COL6A1,-0.496574776847435,-1.1569084010505328,-1.0350197831688046
VWF,0.362767797404288,1.014351795556621,1.012414274569288
COL1A1,-1.05221253140789,-1.2099500482203247,-1.0079973443516934
ISG15,1.07240387857943,1.0855048399628089,0.9813129927417216
AHSG,2.66911182600918,1.3057545908403405,0.9714866529473449
LCP1,0.810908579103509,1.037788160320254,0.9712762259030996
LAMC1,0.485298145523773,-0.9029140246158285,-0.9225074378590868
BPGM,-0.166482175253766,0.843967876279045,0.9182921193127347
SPTA1,-0.838963537001333,0.7274337984900008,0.8986585943202492
GDA,2.40473109170197,1.1909676877286923,0.8947954365868567
TKT,0.740131062485133,0.9043229660743073,0.8480096496055605
ARIH1,0.271210649907428,-0.8515933401303535,-0.8403380223126581
LAMB2,-0.159727194211361,-0.8994339884576981,-0.8260830978979541
MPP1,-0.280011994253881,0.7344243978733918,0.8251076106061315
GPX3,-0.193340294403465,0.7324186130491448,0.8106129508404325
LAMA2,-0.560449964560016,-0.9359085076189437,-0.8048158562109204
VWA1,0.755849698216868,-0.7380805654069924,-0.7966588435211515
TGFBI,1.41566738896332,-0.6417848247971509,-0.7954388962569111
POSTN,0.499953088986971,-0.7544983244265211,-0.7762034276043464
CAST,0.675800132771078,-0.7252492983484338,-0.7722929115870285
LAMA5,-0.423027453424051,-0.8831969594759599,-0.7719060721810138
COX7B,0.0048121369732144,0.7199769468825927,0.76961870131531
HSPG2,0.222754285972402,-0.7829656217152348,-0.7647280309024733
ATP6V0D1,-0.0706797379435507,0.6994477849255833,0.7599674682157983
PM20D2,-0.0941879419530085,-0.7974072683144442,-0.7335001930556979
MYL9,-0.693470584370869,0.5807018511312698,0.7309619803702266
EDC4,0.400684699280306,-0.7219010786043736,-0.7293021989732138
S100A11,1.087176443093,0.8352676614654744,0.7289471758180851
LAMB1,-0.359961557191156,-0.8198053085161803,-0.7176018406728263
SMS,-0.0915822765026859,-0.7643159677553921,-0.7007843533449332
NID1,-0.047874850297666,-0.7543778102554413,-0.6971441752411325
FLNA,0.840403918636725,0.7672756175062432,0.696513580605559
STEAP4,0.820351892956868,-0.6227410157230011,-0.6906136753359348
BROX,-0.0338807936934214,-0.7431711718899354,-0.6879539969560872
PARP3,0.277795413530074,-0.6968102307476531,-0.6865037380890832
HEBP1,0.176690238832996,-0.7099379126749188,-0.6850627674468861
HP,3.97583224326497,-0.15626660141459325,-0.6788251566915198
HSPA12A,-2.17402898969188,0.3126415246639045,0.6762412884027265
HSPBP1,0.521509104635293,-0.6486389107373647,-0.6734501071859174
ANKRD1,2.62771993086209,0.9953441887508667,0.6670405760409918
TINAGL1,2.62704882606479,-0.33107253315300156,-0.6592794436648055
MYH7B,-1.72876376866825,0.3581355109762008,0.657575212425493
HBB-B1,0.510007742243323,0.6755019378174119,0.6523480190825481
EFEMP1,-1.34633627379533,0.40364967280056696,0.6479838534641402
FBN1,-0.568885236346048,-0.773041798170798,-0.6407336744158065
CCDC124,1.03901893766496,-0.5336327645201795,-0.633014040900633
OSTF1,0.261558808561298,0.6195310756242431,0.6321771662055349
REEP5,-0.455460421838634,-0.7458023159904315,-0.6298380314134562
OSBPL1A,-0.738838861388786,-0.784599309710778,-0.627801882380705
DNAJC28,-1.54661958317645,0.35326345928116787,0.626457270112811
LANCL1,-0.0368295834848298,-0.6797630338067187,-0.6241209558538101
ASRGL1,-0.291743061544517,-0.7159291918467474,-0.6235556022946379
USP4,0.129182753246755,-0.6530773366237117,-0.6213566461105008
ART3,0.645526310915469,-0.5783482765427443,-0.6210296126388921
EIF4E3,-0.529827937403893,-0.7430079439705057,-0.6163277440116476
ATL2,-0.249066560133211,-0.6971658724084566,-0.6109417121393121
ASAH1,-0.607205681437608,0.47114934015303334,0.6089792114597082
SYNPO2L,3.25795214940687,-0.18867232899154374,-0.6077886449836176
USP7,0.245693760512982,0.5918025110862857,0.6067346604544421
RPL31,0.49357803367298,-0.5768593080947397,-0.5976458038297817
RCC2,1.01447260499176,0.6932905428727221,0.5974462466086843
GDPD1,-1.55717019784181,0.32140808743347016,0.5961221789027209
PXDN,-0.429232249602807,-0.7057287713045408,-0.5935438098925829
RBM24,-0.130258714374175,-0.6617742657925572,-0.5926696073943662
CAP1,0.817124710271196,0.6600357999104602,0.5926281580720035
APEX1,2.31521030985359,-0.3065824712324332,-0.5898553117120229
SRP68,0.472377262759121,0.6045356461129519,0.5868040550014781
GPS1,0.508939295018573,-0.5615606435352216,-0.5845606053984136
RDH13,0.278795883193115,-0.5904715948513584,-0.5803092639033122
TMOD4,-1.11020839627275,0.3638481113463108,0.57415767338974
ALAS1,-0.20142501626793,0.4906717102268985,0.5700310082125286
RCN1,0.341201816997127,0.5623381027678196,0.5635081109135215
NUP54,0.690017293681467,-0.5130332729915175,-0.5621254943102443
ARL3,0.544383967724246,-0.5302278793365058,-0.558335207104899
NAA25,0.955168459713392,-0.470941973496128,-0.5582408961818294
PREP,0.34102264044944,-0.5464398958741157,-0.5452440694567016
GSS,1.403500324643,-0.39240096959518134,-0.5443018396643684
CIAPIN1,0.914501752442312,-0.46147417801021007,-0.542913270759892
NAPRT,0.512787051184434,-0.5148419765386052,-0.5383963771129747
ACY3,-0.252830071862992,-0.6229085923207442,-0.5361421324611332
PGRMC2,-0.113271245955046,0.4678696229218975,0.5345264884531604
PFDN2,1.2988493742362,-0.39754869695521045,-0.5343699893261376
GNG12,0.789639888995497,-0.4677110547456387,-0.5311582977884933
GSTM7,0.000889022033503,-0.581233276945575,-0.5310262250518923
PM20D1,-2.01206453748848,0.1904635240061534,0.5307251763196768
SNRNP200,-0.239506851129532,0.43036273732664654,0.5152094005531616
TPM4,0.527239917855214,0.5403989162012479,0.5147619437526868
FLNC,3.87692640877153,-0.005168677394124188,-0.5134754919056064
D3ERTD751E,-1.15913769763854,0.29213959867576555,0.5094995811769059
AMPD3,1.11829874787062,-0.3978743202776176,-0.5086793443952142
GSTO1,0.681368472504421,-0.46006077008210866,-0.5079067478604696
RCSD1,-0.231796713970902,-0.5914402189655146,-0.5077045405116735
ACY1,0.328972060236563,-0.5100204152756209,-0.5070881721326748
PDK4,1.31025706142249,0.6455230958388718,0.5070580237926106
SF3B1,0.785988241600094,0.5693649567034775,0.5064438942677896
CELF2,-0.491687642279159,0.37656603617015705,0.4977504471129355
ERLIN2,-0.63634689035794,0.35426750317640376,0.49629644885772306
NAGK,0.184074387844707,-0.5192502806319315,-0.49543914722915966
CYCS,0.0342912747058841,0.44962528818174974,0.49501927471375023
SDHAF2,-0.558160794410805,0.3623660055076421,0.4931288011523361
ACTG1,1.02953988886284,0.5904244562313181,0.4924090542395972
XPNPEP3,-0.946280310452679,0.3054352749021483,0.49212377762942455
EIF6,1.80233616513317,-0.2812189822810147,-0.4905897178616343
FABP3,0.586242357222616,-0.456364145939979,-0.4905030179448179
COPZ1,-0.030882032063422,-0.5422557971856552,-0.4874707259147202
ALDH1A1,-1.22937317382314,0.25946109369949966,0.486941589355876
COX19,0.691166840837587,-0.434605027652216,-0.48386289185895426
ITGA5,3.43737498003832,-0.038618035780130455,-0.4835881113876822
GSTP1,0.432255918495133,-0.4716238627975784,-0.4835742075291995
DENR,0.0853828847574354,-0.520768692326774,-0.4827367020356745
FHL1,2.92474822714829,-0.11071144924058984,-0.48181506763620896
DHRS7,-1.2282628744608,0.25305887687901674,0.48037938502034755
HBS1L,-0.0571268966162001,0.4196754941012184,0.47824229380047173
CREG1,-0.262815397220304,0.389907315500146,0.4781126011800929
PEBP1,0.632423563350977,-0.435365382072618,-0.47615869040416925
AKAP1,-0.421788715141214,-0.5872387115116044,-0.47612631901399416
THOP1,1.00509358770484,-0.38072319636918195,-0.47521603218912756
MAPT,-0.116821380255707,-0.5418833680795352,-0.4747149493725201
KLHL41,2.61862957375468,-0.14621143753755916,-0.4732051840133172
FKBP3,-0.119016021623064,-0.5399350747733962,-0.4724504213366416
MSRB3,-0.154387240216708,-0.5442058629757902,-0.4716244279332153
TRIM54,1.25083175812008,-0.3391124582406988,-0.4690146985600813
PLIN4,1.05421073455318,-0.36619169626126435,-0.46776201995243594
NME2,0.905965266207794,-0.38753102060143974,-0.4677400566058829
MB,0.535111157529968,-0.43897055882903047,-0.46574172996184326
INMT,-3.75219051166006,-0.1258192880046387,0.46518413712871187
PPME1,1.28553756713682,-0.32912378727604974,-0.464026927650468
FHOD3,-0.511446886893672,-0.5876201771553085,-0.46358857692982175
F13A1,0.764081794158066,0.522673163628383,0.46290868959452813
BLVRB,0.515722874035841,0.4868341563326055,0.4628567211978805
GPT,-0.0785690741173522,-0.5210581308830093,-0.45940164131097777
IQGAP1,0.749021693541781,0.5165290201963337,0.45893461682599507
MGST1,-0.41048555005898,0.3488339189662959,0.4583175928002797
NPEPL1,0.350336667582099,-0.45792203671347664,-0.4580683060465996
EHHADH,-2.10066834112015,0.10483849184463168,0.457867423729257
RRAS2,2.00254926545516,-0.21803787963465737,-0.45625812867673154
PDCD5,0.682721366190591,-0.40759632597617923,-0.45563724766454566
HDAC2,-0.449765864516903,0.34036105860322685,0.4555047914388521
EIF2S2,0.37653917381067,-0.45108203388040735,-0.45500392806000284
FKBP1A,0.545166268796155,-0.4267490424142153,-0.45496909510055167
GSTA4,-0.209568136017893,-0.5354508929660113,-0.4549182199990889
PPM1A,0.116262508879394,-0.4878244065952515,-0.45424198593949744
DYNC1LI2,-0.326617567730183,0.35560805364066184,0.4530068515035506
NAE1,-0.483683385813505,-0.573021224896026,-0.452990179563607
PPA1,0.353059602525167,-0.45218549308312816,-0.4527241210989166
HINT1,0.50623028922349,-0.4293760784470777,-0.45198568873473977
RCN2,-0.0137225839254785,0.398295848374131,0.45060834552653634
SCRN2,0.216744151196127,-0.469524990729866,-0.4504213753470117
ARPC1B,1.45103915842746,0.6088597881820874,0.4501088557393544
TSG101,-0.363545702441142,-0.5519553017948233,-0.4492353800007989
PSMA4,-0.0514865584532992,-0.506859621570257,-0.44910556095499
NUDT12,-1.53578195717355,0.17631842986903656,0.44795060344138926
LYPLA2,1.00978838421873,-0.3512295596471162,-0.4463988876396941
PPP2R2A,1.29214912674161,-0.3085524901536161,-0.44440831682834553
GPD1,0.781065415632913,-0.3818317031537326,-0.4440434157327918
EIF4H,0.781556870173157,-0.38158534675298483,-0.4438678749997085
