gene,log2FC_GSE57338,p_GSE57338,log2FC_GSE193997,padj_GSE193997,same_direction
LIMS1,-0.003271744239073726,0.8957274354795326,-0.856975055639216,8.56104272673361e-12,True
CAPZA1,-0.10586974686108341,8.956010182982329e-05,0.507813205151111,0.000213625228836682,False
MYL6,-0.23859235204611196,3.744779970080291e-11,0.995825888694287,1.5615934822701e-13,False
PIP5K1C,-0.19153259717252435,8.314973058891149e-17,0.739462943701098,6.35877831501104e-09,False
RAB44,-0.01065737979154191,0.5648426305292515,5.21460369015389,1.0246644161969e-12,False
TOMM40L,-0.1652406843023435,1.5319333145043683e-06,0.40045128564593,0.0379845921765159,False
RFX3,0.10043684329640268,0.00019779118875821178,-0.827201122780078,0.0239756561952385,False
OAF,-0.0007575549149638761,0.9829229237708182,1.38986796383962,4.31893171387587e-14,False
EIF2S2,-0.13755066117842318,9.860046172075765e-07,0.37653917381067,0.00576505725991324,False
POLR2M,0.1574171585933044,2.6321880659317356e-09,-0.354072895011145,0.00100546015418364,False
ORC3,0.28635520601616005,1.2988077899983035e-20,-0.57022791998887,9.28956667068397e-05,False
PIAS1,-0.07049584378526852,0.00028808241625134334,-0.494901472041414,0.00115706705972945,True
FOXS1,0.07084737967302246,0.005510695464750565,1.6612181200511,0.00136410275956024,True
CLASRP,-0.07662090312778336,0.0002230526847683199,0.413163009356852,0.0240515150081936,False
PUF60,-0.0694428590024101,0.00010825876216923618,0.400331756632409,0.00436678388211413,False
SLC25A30,0.38006805238089925,4.522097362396499e-08,0.964357256340847,0.000448684005254565,True
SMTNL2,-0.3434738431192672,1.1032330168531865e-15,-1.55030458702113,6.65514117955512e-13,True
PPP1R16B,0.11169403910672138,0.0012619090431453253,-0.760459126720217,0.0389811910808142,False
NMRK2,-0.2745735696670817,4.9542824013922133e-05,3.59126754314531,2.20825942020699e-08,False
KLHL31,-0.14209057463646602,0.013090955438097584,-1.6813499456678,6.45038385867861e-52,True
USP35,-0.04751387807269847,0.050558678941776354,-1.19383728884507,0.00792745146648958,True
ADAM23,0.068970418462861,0.202763788972378,-1.35804861454955,0.00547581440971475,False
FMO5,-0.5401594185912675,8.389904881850487e-09,-1.0653153551897,1.9743482567546e-07,True
RBM5,0.20473507623878362,2.8647134608195846e-21,-0.350500866673557,0.0069905775857413,False
ATP8A1,0.43892638613185486,1.619364474050238e-17,-0.553843970945413,0.000470494415355874,False
ADAM8,0.008654050081006837,0.7576740105077319,4.79306813829102,2.66836368753636e-39,True
GRK2,-0.1625823358269356,6.259705241192799e-14,0.322710107569794,0.0177845327373996,False
TUBA4A,-0.3081026334088577,6.709599639134952e-09,-0.309276849017666,0.022425728142508,True
GADD45G,0.13075661959729157,0.22289611720125954,2.39755319702873,1.5056714758672e-06,True
CHRD,-0.026290892614490247,0.27624150000018327,-1.26395721698037,0.000973980606222395,True
KLHL8,-0.08965870432527456,0.00406322129732603,-0.577318270327261,0.0133780501136433,True
CCL7,-0.010979850833956473,0.5712817893797585,5.35022974446036,7.27102174973679e-43,False
KCNT1,0.14486693190486832,1.2104327785899825e-07,-1.58049023058141,0.0386426713234448,False
SLC3A2,-0.27453977192302226,5.583857405807709e-10,1.51352617357139,1.51173326816705e-21,False
TRIM16,-0.18312533031958367,1.8091962838574567e-06,1.57285799194865,6.9813867404644e-12,False
DDO,0.22333373809974244,5.741431972573997e-06,-0.77179586550227,3.09396885754351e-08,False
DCUN1D1,0.038916492448654694,0.12722631629699332,-0.443215389077596,0.00106401460530614,False
TAF1B,-0.09977485163451316,0.00999476535697838,-0.777534969652536,0.00142781943676805,True
SMAD4,-0.015189877930749773,0.440568162338371,0.271474581828431,0.0384854620324672,False
TMEM230,0.004941288641699515,0.809168960769374,-0.512540442408015,0.008076558351595,False
RAB15,-0.5646348206204301,1.5673816288275644e-13,2.35808971001599,1.87154666184387e-06,False
RALGPS1,0.24303320123437988,3.564290096808776e-12,-0.631370754750293,0.00265933915269617,False
AREL1,-0.033760724955799404,0.095133737072442,-0.625597895782956,0.000100304351287656,True
EID2,-0.015232305816092584,0.3750842648960649,0.64089383547546,0.00538848154088124,False
HMGN3,0.24271536023716322,9.641270346788567e-08,-0.885999523717286,0.00928420053103563,False
ADAMTSL2,0.06335682876607684,0.06714987148610178,-0.978593018890439,0.00292169142056198,False
NAP1L3,0.9888092543475819,2.1384083717768538e-30,-1.71412533032689,0.0140877722832401,False
ASAP2,0.21556564358590968,5.922656592100421e-11,0.636764274283849,8.0981518753137e-05,True
KLHL13,0.6673542927787892,1.2563741026338924e-29,-0.74901621929245,0.000158506336821324,False
EMC6,-0.2563429388971006,4.993003711531933e-19,0.427578616809882,0.00109294635002299,False
AGPAT4,0.07551299397918765,0.005694011141302385,0.868347746178615,0.00404994727653419,True
MILR1,-0.0749223141364661,0.11875111235951626,1.21051170133756,0.0171013392982165,False
PODXL,-0.23255729164269745,5.611632882226854e-15,0.349809345934192,0.00397257801524032,False
FAM136A,-0.011553067752118729,0.7084297124570335,-0.395530765175855,0.0103483426987638,True
