gene,rna_log2fc,prot_log2fc,residual,studentized_residual,mean_sham,mean_ir
ASAH1,-0.607205681437608,0.47114934015303334,0.6089792114597082,1.6106696868164685,14.929092817881568,15.400242158034601
SYNPO2L,3.25795214940687,-0.18867232899154374,-0.6077886449836176,-1.607520795529059,18.62485399158432,18.436181662592777
USP7,0.245693760512982,0.5918025110862857,0.6067346604544421,1.6047331454753775,13.14341909706463,13.735221608150916
RPL31,0.49357803367298,-0.5768593080947397,-0.5976458038297817,-1.5806943185701505,17.789009356869713,17.212150048774973
RCC2,1.01447260499176,0.6932905428727221,0.5974462466086843,1.580166516042973,14.21294167610357,14.906232218976292
GDPD1,-1.55717019784181,0.32140808743347016,0.5961221789027209,1.5766645316120498,15.2240750308067,15.54548311824017
PXDN,-0.429232249602807,-0.7057287713045408,-0.5935438098925829,-1.5698450856803867,15.530881755362769,14.825152984058228
RBM24,-0.130258714374175,-0.6617742657925572,-0.5926696073943662,-1.5675329353844156,15.838908458297984,15.177134192505427
CAP1,0.817124710271196,0.6600357999104602,0.5926281580720035,1.5674233073941453,17.312037882212262,17.972073682122723
APEX1,2.31521030985359,-0.3065824712324332,-0.5898553117120229,-1.5600894945247126,16.074060032085526,15.767477560853093
SRP68,0.472377262759121,0.6045356461129519,0.5868040550014781,1.552019323001797,13.972856977546611,14.577392623659563
GPS1,0.508939295018573,-0.5615606435352216,-0.5845606053984136,-1.5460856947242485,16.2058429851988,15.644282341663578
RDH13,0.278795883193115,-0.5904715948513584,-0.5803092639033122,-1.5348414572435445,15.090024638765104,14.499553043913746
TMOD4,-1.11020839627275,0.3638481113463108,0.57415767338974,1.5185713117616177,17.129134181718687,17.492982293064998
ALAS1,-0.20142501626793,0.4906717102268985,0.5700310082125286,1.5076568266962844,14.983533093270154,15.474204803497052
RCN1,0.341201816997127,0.5623381027678196,0.5635081109135215,1.4904046237441595,14.182771908597665,14.745110011365485
NUP54,0.690017293681467,-0.5130332729915175,-0.5621254943102443,-1.4867477852027422,14.371714329444261,13.858681056452744
ARL3,0.544383967724246,-0.5302278793365058,-0.558335207104899,-1.4767229755030078,15.269027485133677,14.73879960579717
NAA25,0.955168459713392,-0.470941973496128,-0.5582408961818294,-1.4764735355515852,13.885333049036639,13.414391075540511
PREP,0.34102264044944,-0.5464398958741157,-0.5452440694567016,-1.4420986432120055,17.413591759116233,16.867151863242118
GSS,1.403500324643,-0.39240096959518134,-0.5443018396643684,-1.4396065696962468,15.402079961442015,15.009678991846833
CIAPIN1,0.914501752442312,-0.46147417801021007,-0.542913270759892,-1.435933988103297,17.066063125547227,16.604588947537017
NAPRT,0.512787051184434,-0.5148419765386052,-0.5383963771129747,-1.4239874002087363,15.971369957131317,15.456527980592712
ACY3,-0.252830071862992,-0.6229085923207442,-0.5361421324611332,-1.4180252204510952,17.34071587716572,16.717807284844977
PGRMC2,-0.113271245955046,0.4678696229218975,0.5345264884531604,1.413752055161773,15.718112046846391,16.18598166976829
PFDN2,1.2988493742362,-0.39754869695521045,-0.5343699893261376,-1.4133381356138386,15.911827065388294,15.514278368433084
GNG12,0.789639888995497,-0.4677110547456387,-0.5311582977884933,-1.4048436351354248,16.66579026519823,16.19807921045259
GSTM7,0.000889022033503,-0.581233276945575,-0.5310262250518923,-1.4044943201681894,17.46832211904962,16.887088842104045
PM20D1,-2.01206453748848,0.1904635240061534,0.5307251763196768,1.4036980859813575,13.483648363472517,13.67411188747867
SNRNP200,-0.239506851129532,0.43036273732664654,0.5152094005531616,1.3626609056896604,16.621442567353025,17.05180530467967
TPM4,0.527239917855214,0.5403989162012479,0.5147619437526868,1.3614774414742612,18.090732000074187,18.631130916275435
FLNC,3.87692640877153,-0.005168677394124188,-0.5134754919056064,-1.3580749460283577,19.50678110353874,19.501612426144614
D3ERTD751E,-1.15913769763854,0.29213959867576555,0.5094995811769059,1.3475591865940473,15.257993611370875,15.55013321004664
AMPD3,1.11829874787062,-0.3978743202776176,-0.5086793443952142,-1.345389768499929,15.837513532559209,15.439639212281591
GSTO1,0.681368472504421,-0.46006077008210866,-0.5079067478604696,-1.3433463525749916,19.653353347539515,19.193292577457406
RCSD1,-0.231796713970902,-0.5914402189655146,-0.5077045405116735,-1.3428115408096166,15.248086860312156,14.656646641346642
ACY1,0.328972060236563,-0.5100204152756209,-0.5070881721326748,-1.3411813277493287,15.882782733776965,15.372762318501344
PDK4,1.31025706142249,0.6455230958388718,0.5070580237926106,1.3411015893665803,17.528305702928662,18.173828798767534
SF3B1,0.785988241600094,0.5693649567034775,0.5064438942677896,1.339477297780276,14.712328011831238,15.281692968534715
CELF2,-0.491687642279159,0.37656603617015705,0.4977504471129355,1.316484276766141,14.280558525500949,14.657124561671106
ERLIN2,-0.63634689035794,0.35426750317640376,0.49629644885772306,1.312638643170963,15.493652601652618,15.847920104829022
NAGK,0.184074387844707,-0.5192502806319315,-0.49543914722915966,-1.3103711934459128,16.30156368518617,15.78231340455424
CYCS,0.0342912747058841,0.44962528818174974,0.49501927471375023,1.309260686026002,23.21478306380132,23.66440835198307
SDHAF2,-0.558160794410805,0.3623660055076421,0.4931288011523361,1.3042606328192612,15.43700568466876,15.799371690176402
ACTG1,1.02953988886284,0.5904244562313181,0.4924090542395972,1.3023569971733915,17.498770293259554,18.089194749490872
