gene,in_OGT_PIN,log2FC,padj
NBEAL2,YES,0.323942698949384,0.041866425567485
AHNAK,YES,1.57514275471939,1.58953411168416e-19
DNAJA1,YES,1.32771072765101,2.08528323583722e-14
ACTN4,YES,1.308422928476,6.63879395724516e-32
SCRIB,YES,0.728655396955249,2.04274814872799e-07
WDR4,YES,1.35461903615641,1.62447607704214e-09
ARID5B,YES,0.999683701269815,6.80646778042488e-06
ZBTB38,YES,0.525763884351362,0.00670116759861422
FNIP1,YES,-0.798734005800993,1.63363545248514e-09
KYAT3,YES,-0.416485345617752,0.0202171415908681
TMEM33,YES,-0.513384787999728,0.00158788972452503
FKBP8,YES,0.359107076563317,0.00447697723918916
BAG2,YES,1.01426180991683,1.75917921556712e-12
YWHAG,YES,0.462263885746072,0.000638430568539083
SNRPB,YES,0.994242948460145,7.67556764332224e-14
RUVBL1,YES,1.07878360542724,1.76596646473659e-08
NPHP3,YES,-1.27097848989025,0.000105126312094797
SYNCRIP,YES,0.540346251000449,1.98371229285457e-05
BPTF,YES,0.32930571148681,0.0325105675443976
USP7,YES,0.245693760512982,0.0461983048779014
ZHX1,YES,-0.875993496515789,1.20952636657702e-07
RPS3,YES,0.638982920337596,7.28737064697654e-09
NFE2L1,YES,0.319432289445373,0.00251282252134111
SF3B3,YES,0.383978629434933,0.0139527929035272
YWHAH,YES,0.395721253708497,0.00451266662276142
MAT2B,YES,-0.557823321539068,3.62054373786799e-05
HSPA1A,YES,6.25473877934256,2.24416050486771e-10
RUVBL2,YES,0.3965695474405,0.0390486100428353
CDC5L,YES,-0.692517507559009,1.3377849716753e-06
RPL28,YES,1.1631413053148,2.31096004600944e-23
KRT18,YES,2.01290909306628,0.000114839057716852
NUP54,YES,0.690017293681467,0.000273425306249068
PAFAH1B2,YES,0.380937689738862,0.00547447263660987
PUF60,YES,0.400331756632409,0.00436678388211413
LRIF1,YES,-1.36997193524419,7.47037658101274e-12
ANKHD1,YES,-0.290471301892896,0.0295434618321259
CIC,YES,0.755154804214147,8.64091887283778e-10
RPLP0,YES,0.386636495456114,0.00014204680636602
NCOA2,YES,-0.474838893258852,0.000178489455946572
SMC4,YES,-0.412978170177712,0.0230449589421295
PACSIN3,YES,1.34060417258567,2.68715607913015e-20
USP9X,YES,-0.438752599614726,7.07730574484849e-05
TRIM63,YES,-0.553875876804388,0.000149664415240079
SERBP1,YES,0.634018240163779,1.9310564795637e-08
RP2,YES,-0.961503521535241,2.74384226348643e-05
TLE3,YES,1.3495438661015,6.27505133293931e-18
CCT8,YES,0.421346795641306,0.0028784162924626
CXXC1,YES,0.340660423379333,0.0179877480390188
RELA,YES,1.13410476909724,5.32674579790808e-15
SMG9,YES,0.684201705820735,0.00180937314932425
PHF21A,YES,-1.04805508438874,7.33017727373268e-09
CLTA,YES,0.314374646831455,0.0189513305926223
RPL18,YES,1.01316914031027,6.25050488861162e-15
SMCHD1,YES,-0.503319984498293,0.000556408666803806
CSNK1G3,YES,0.379723082188208,0.0200947146090311
KDM1A,YES,0.407270500531578,0.00840156081365488
RPL12,YES,0.580518617452139,3.11579361116901e-06
PSMB6,YES,0.473968272001628,0.000120472822449164
EIF2S2,YES,0.37653917381067,0.00576505725991324
SNRPD3,YES,0.503488444343198,0.0008155495844588
CFL2,YES,0.36358358405964,0.00991037594020055
RPS25,YES,0.3287580006477,0.0134172175501798
PHLDB2,YES,0.515224151293661,0.00582669915827521
PSAT1,YES,1.97240143942255,1.374181294122e-10
RPS17,YES,0.574288004183983,4.54629751984204e-07
SMN1,YES,0.735257838958862,0.00942066520535907
TCF4,YES,-0.243860352591223,0.0443743366831898
LMNB1,YES,0.877167018671083,0.000312960325624097
TPM3,YES,1.14838868783818,2.28615941555938e-15
CHERP,YES,0.616815904902797,3.77814298142419e-06
MCM4,YES,-0.509887903405224,0.0304924375414134
MYH9,YES,1.5512806684355,4.65575313608371e-15
ANXA11,YES,0.620923110578328,9.73415276012219e-05
KANSL3,YES,0.341948382284759,0.00396673341332973
MYO18A,YES,0.862903725247836,6.75161237322734e-08
PKP4,YES,0.509549730593625,5.85320546831995e-05
PSMD3,YES,0.452525690899682,0.000139898221949669
PPP1CA,YES,0.447491918377624,7.76760305841078e-05
HNRNPD,YES,0.321561790600749,0.0214814212540527
PA2G4,YES,0.831614060289539,2.59978078376089e-09
CLASP2,YES,-1.22559309727267,6.06119339163702e-23
EEF1AKMT1,YES,-0.513630508054251,0.0109370639083015
HNRNPK,YES,0.37921451429271,0.000239464724570512
FLNA,YES,0.840403918636725,4.68342347851961e-11
KMT2C,YES,-0.565964029081241,9.72663464655423e-06
LMNA,YES,1.29784864578175,5.65339518096661e-20
MTHFD1,YES,0.333655543991003,0.027293896530278
ARAF,YES,-0.512983361438922,7.40597209350314e-05
EED,YES,0.605218736325369,0.00225024056495094
CCND1,YES,0.762774871488206,6.39600026799856e-06
PPME1,YES,1.28553756713682,5.6553223726959e-10
AKAP12,YES,1.85075139239289,0.00102186800113349
GIPC1,YES,0.767740913172828,0.00011123859772478
CCT7,YES,0.677674799092511,1.80213747687673e-07
IGHM,YES,-2.19186112362201,1.81967885100483e-10
UCHL5,YES,-0.432193260722223,0.0317308477956789
RPL8,YES,0.910892636428274,1.40757558127119e-16
NDRG1,YES,0.84730002439317,2.42866584894318e-07
HSPA4L,YES,-0.526308534985014,8.11135347523817e-05
DDB1,YES,0.529009404526602,1.6529973943083e-07
TUBA1C,YES,2.37233242637398,1.37793111120158e-46
RPS23,YES,0.689318232967062,7.84340868721008e-08
DSP,YES,-0.329361004024205,0.00407868665593771
CCAR1,YES,-0.355923897318467,0.0102522996930467
HDAC5,YES,0.32583849522128,0.00718292668998331
DBN1,YES,2.57091672518021,8.43166261755745e-33
ATAD3A,YES,0.926670942362073,8.99394223531629e-15
SUMO2,YES,0.323341314220067,0.0213429772434959
RPL5,YES,0.326673630659982,0.00355488748755772
RPS9,YES,0.84649684264223,1.03369672987416e-14
SRSF2,YES,0.585539706223187,1.51537766449642e-05
RPL22L1,YES,1.47742268971423,1.43097779757703e-08
BTRC,YES,-0.535504154255693,0.00241079650280446
SPEN,YES,0.963975080443404,8.4316043938903e-12
UBC,YES,-0.3613467537763,0.0443743366831898
TET2,YES,0.37817851590652,0.0074007342157337
RPL3,YES,0.820872930521714,1.8009220599591e-10
RPL35,YES,1.10864550788837,7.2481864327131e-17
MTDH,YES,0.494526753216832,0.000440379317025471
IMMT,YES,-0.340177549025736,0.000195692672687764
ASXL1,YES,0.487281331570529,0.00165710393170151
KPNA1,YES,0.307405969882973,0.0364213175487819
DYRK1A,YES,0.787899957216627,7.21093572695453e-08
NUP210,YES,-0.663664569359217,0.0150236332820967
TRAK2,YES,-0.3498124125385,0.000772068962504895
ANXA2,YES,1.60056639853848,2.3856808290749e-21
MYH11,YES,-1.32308606761362,1.07332240505229e-08
TUBA1B,YES,0.656392413637503,2.32196240125488e-06
NUFIP2,YES,0.503042826852831,0.00116758646219382
GNAO1,YES,-0.443308305442448,0.0346241604376963
